0;0;1024;162,163,155
0;0;1024;162,163,155
0;0;1024;162,163,155
0;0;1024;162,163,155
0;512;512;143,141,134
512;512;512;141,145,133
0;0;256;229,229,229
256;256;256;112,124,104
768;0;256;229,229,229
512;256;256;127,130,117
256;0;128;229,229,229
256;128;128;227,227,227
384;128;128;174,156,152
0;256;128;229,229,229
128;256;128;133,141,133
768;256;128;178,183,176
896;256;128;229,229,229
768;384;128;132,146,119
384;0;64;229,229,229
448;64;64;111,98,111
0;384;64;229,229,229
64;384;64;219,219,220
0;448;64;229,229,229
64;448;64;170,172,172
128;384;64;107,108,107
192;384;64;57,52,49
128;448;64;125,123,120
512;0;64;178,168,185
512;64;64;145,121,108
576;64;64;144,124,115
640;0;64;229,229,229
704;0;64;229,229,229
704;64;64;229,229,229
512;192;64;168,133,111
576;192;64;171,136,113
704;128;64;229,229,229
640;192;64;223,221,220
704;192;64;229,229,229
896;384;64;223,224,224
960;384;64;229,229,229
960;448;64;229,229,229
448;0;32;229,229,229
480;0;32;229,229,229
448;32;32;226,226,227
480;32;32;164,155,174
384;64;32;229,229,229
416;64;32;229,229,229
384;96;32;229,229,229
224;448;32;59,55,52
192;480;32;125,120,117
224;480;32;55,51,47
576;0;32;229,229,229
608;0;32;229,229,229
576;32;32;166,154,175
672;64;32;229,229,229
672;96;32;229,229,229
512;128;32;138,124,112
544;128;32;173,147,125
512;160;32;184,152,129
544;160;32;172,137,114
576;128;32;127,118,110
608;128;32;170,156,143
576;160;32;182,151,128
608;160;32;178,144,125
672;128;32;229,229,229
672;160;32;229,229,229
896;448;32;148,155,159
928;448;32;228,228,228
896;480;32;101,101,101
928;480;32;198,197,195
416;96;16;229,229,229
432;96;16;205,204,210
416;112;16;229,229,229
432;112;16;133,129,155
192;448;16;132,131,128
208;448;16;57,54,51
192;464;16;117,115,112
608;32;16;229,229,229
624;32;16;229,229,229
624;48;16;229,229,229
640;64;16;229,229,229
656;64;16;229,229,229
640;80;16;171,170,166
656;80;16;229,229,229
640;96;16;129,124,118
656;96;16;229,229,229
640;112;16;157,153,150
656;112;16;229,229,229
640;128;16;157,147,163
656;128;16;229,229,229
640;144;16;142,131,148
656;144;16;229,229,229
640;160;16;182,174,183
656;160;16;229,229,229
640;176;16;202,195,196
656;176;16;229,229,229
208;464;8;41,38,33
216;464;8;26,22,19
208;472;8;164,161,154
608;48;8;229,228,229
616;48;8;229,229,229
608;56;8;170,162,179
616;56;8;228,227,228
216;472;4;32,30,24
220;472;4;23,20,17
216;476;4;85,83,77
220;476;4;25,22,18
0;512;512;143,141,134
512;512;512;141,145,133
0;0;256;229,229,229
256;256;256;112,124,104
768;0;256;229,229,229
512;256;256;127,130,117
256;0;128;229,229,229
256;128;128;227,227,227
0;256;128;229,229,229
128;256;128;133,141,133
896;256;128;229,229,229
768;384;128;132,146,119
384;0;64;229,229,229
448;64;64;111,98,111
448;128;64;144,114,109
448;192;64;154,121,101
0;384;64;229,229,229
64;384;64;219,219,220
0;448;64;229,229,229
64;448;64;170,172,172
128;384;64;107,108,107
192;384;64;57,52,49
128;448;64;125,123,120
512;0;64;178,168,185
512;64;64;145,121,108
576;64;64;144,124,115
640;0;64;229,229,229
704;0;64;229,229,229
704;64;64;229,229,229
512;192;64;168,133,111
576;192;64;171,136,113
704;128;64;229,229,229
640;192;64;223,221,220
704;192;64;229,229,229
832;256;64;229,229,229
768;320;64;102,112,98
832;320;64;202,211,200
896;384;64;223,224,224
960;384;64;229,229,229
960;448;64;229,229,229
448;0;32;229,229,229
480;0;32;229,229,229
480;32;32;164,155,174
384;64;32;229,229,229
416;64;32;229,229,229
384;96;32;229,229,229
384;128;32;229,229,229
384;160;32;229,229,229
384;192;32;229,229,229
384;224;32;224,224,224
416;224;32;166,154,157
